,home,away,team,matchweek,ball_possession,total_shots,shots_on_target,shots_off_target,blocked_shots,corner_kicks,offsides,fouls,yellow_cards,free_kicks,throw-ins,goal_kicks,big_chances,hit_woodwork,counter_attacks,counter_attack_shots,shots_inside_box,shots_outside_box,goalkeeper_saves,passes,passes_completed,passes_accuracy,long_balls,long_balls_completed,long_balls_accuracy,crosses,crosses_completed,crosses_accuracy,dribbles,dribbles_completed,dribbles_accuracy,possession_lost,duels_won,aerials_won,tackles,interceptions,clearances,red_cards,big_chances_missed,counter_attack_goals
29,tecnico,independiente,independiente,4,74,13,5,3,5,9,3,16,3,12,19,5,1,0,0,0,8,5,2,525,456,0.8686,42,68,0.6176,7,29,0.2414,5,9,0.5556,115,42,14,11,5,9,0,0,0
30,delfin,libertad,delfin,5,61,21,6,10,5,8,2,12,2,14,18,4,4,1,2,2,15,6,3,402,310,0.7711,36,63,0.5714,7,25,0.28,3,16,0.1875,142,57,20,20,7,5,0,3,0
31,delfin,libertad,libertad,5,39,7,4,2,1,2,0,17,7,11,14,13,2,0,1,1,5,2,5,276,193,0.6993,32,72,0.4444,1,5,0.2,4,12,0.3333,132,50,19,16,7,29,0,1,0
32,imbabura,cumbaya,imbabura,5,30,10,6,3,1,1,0,12,0,14,17,11,0,0,0,0,3,7,1,229,159,0.6943,19,59,0.322,2,4,0.5,6,20,0.3,107,38,9,9,8,30,1,0,0
33,imbabura,cumbaya,cumbaya,5,70,17,1,8,8,3,0,17,3,10,17,5,0,0,0,0,4,13,6,533,462,0.8668,33,49,0.6735,1,17,0.0588,6,13,0.4615,115,46,8,22,3,6,0,0,0
34,independiente,aucas,independiente,5,63,21,6,10,5,6,1,13,3,14,22,6,6,1,0,0,16,5,4,416,348,0.8365,32,56,0.5714,10,27,0.3704,9,13,0.6923,107,48,10,15,8,17,0,5,0
35,independiente,aucas,aucas,5,37,8,5,3,0,2,1,14,2,13,20,14,1,0,0,0,5,3,5,240,184,0.7667,19,42,0.4524,4,19,0.2105,4,15,0.2667,105,32,9,6,6,23,0,0,0
36,nacional,cuenca,nacional,5,57,15,4,9,2,7,2,11,5,17,16,5,3,0,0,0,10,5,2,340,265,0.7794,32,68,0.4706,7,32,0.2188,2,10,0.2,134,55,22,14,4,22,0,1,0
37,nacional,cuenca,cuenca,5,43,8,3,4,1,1,1,17,5,11,24,12,2,0,0,0,7,1,2,264,165,0.625,33,84,0.3929,4,16,0.25,3,7,0.4286,147,45,18,13,3,28,1,1,0
38,orense,emelec,orense,5,55,19,4,11,4,5,0,15,4,14,23,2,1,1,0,0,11,8,4,399,318,0.797,20,42,0.4762,10,30,0.3333,3,9,0.3333,127,45,19,9,2,24,0,0,0
39,orense,emelec,emelec,5,45,14,5,2,7,6,0,15,5,14,17,11,2,1,0,0,7,7,3,342,251,0.7339,24,64,0.375,0,8,0.0,5,5,1.0,127,40,13,8,4,24,0,1,0
40,tecnico,macara,tecnico,5,48,10,3,6,1,5,1,13,3,11,20,15,1,0,0,0,3,7,4,233,159,0.6824,25,55,0.4545,0,19,0.0,7,17,0.4118,134,56,19,19,4,12,0,0,0
41,tecnico,macara,macara,5,52,18,5,11,2,7,2,12,5,12,19,12,3,1,0,0,9,9,2,258,180,0.6977,17,54,0.3148,7,15,0.4667,10,19,0.5263,127,56,14,20,1,13,0,2,0
